sample,domain,level,metric,estimate,se,ci_low,ci_high,unweighted_n,weighted_n
Children/adolescents 6-19,sample,Children/adolescents 6-19,Weekday MIMS-units,17563.65404676611,164.85209088102687,17240.543948639297,17886.764144892924,3520,38464014.8829875
Children/adolescents 6-19,sample,Children/adolescents 6-19,Weekend-day MIMS-units,16681.63445378668,175.82460610431713,16337.018225822218,17026.250681751142,3520,38464014.8829875
Children/adolescents 6-19,sample,Children/adolescents 6-19,Weekday minus weekend MIMS-units,882.0195929794327,86.52580821773411,712.4290088726739,1051.6101770861915,3520,38464014.8829875
Children/adolescents 6-19,sample,Children/adolescents 6-19,Percent difference from weekday,4.217981938170117,0.5201171623954794,3.1985522998749767,5.237411576465257,3520,38464014.8829875
Adults 20+,sample,Adults 20+,Weekday MIMS-units,13893.204935761625,70.70803232463125,13754.617192405349,14031.792679117902,6611,142594053.1838385
Adults 20+,sample,Adults 20+,Weekend-day MIMS-units,13239.57524486517,85.19589404876015,13072.5912925296,13406.559197200739,6611,142594053.1838385
Adults 20+,sample,Adults 20+,Weekday minus weekend MIMS-units,653.6296908964564,55.41423232094508,545.017795547404,762.2415862455088,6611,142594053.1838385
Adults 20+,sample,Adults 20+,Percent difference from weekday,2.897615886918293,0.40454188197584273,2.1047137982456414,3.6905179755909447,6611,142594053.1838385
Children/adolescents 6-19,sex,Male,Weekday MIMS-units,17698.262060361034,195.2980766053746,17315.4778302145,18081.04629050757,1773,19547549.563199997
Children/adolescents 6-19,sex,Male,Weekend-day MIMS-units,16650.950770118125,217.04396835153068,16225.544592149125,17076.356948087127,1773,19547549.563199997
Children/adolescents 6-19,sex,Male,Weekday minus weekend MIMS-units,1047.3112902429111,127.14833061901025,798.100562229651,1296.5220182561711,1773,19547549.563199997
Children/adolescents 6-19,sex,Male,Percent difference from weekday,4.94170180948341,0.796137484987868,3.381272338907189,6.502131280059631,1773,19547549.563199997
Children/adolescents 6-19,sex,Female,Weekday MIMS-units,17424.555289526397,196.436435391124,17039.539876159793,17809.570702893,1747,18916465.319787502
Children/adolescents 6-19,sex,Female,Weekend-day MIMS-units,16713.341795362023,203.84166634891486,16313.81212931815,17112.871461405895,1747,18916465.319787502
Children/adolescents 6-19,sex,Female,Weekday minus weekend MIMS-units,711.2134941643719,99.2713254207712,516.6416963396604,905.7852919890835,1747,18916465.319787502
Children/adolescents 6-19,sex,Female,Percent difference from weekday,3.4701175874464663,0.5508596670651673,2.390432639998738,4.549802534894194,1747,18916465.319787502
Adults 20+,sex,Male,Weekday MIMS-units,13551.593948852727,112.06966617357179,13331.937403152526,13771.250494552929,3259,69337083.14867951
Adults 20+,sex,Male,Weekend-day MIMS-units,12695.670375697602,135.8816920593816,12429.342259261215,12961.99849213399,3259,69337083.14867951
Adults 20+,sex,Male,Weekday minus weekend MIMS-units,855.9235731551221,98.53976775441866,662.7856283564615,1049.0615179537826,3259,69337083.14867951
Adults 20+,sex,Male,Percent difference from weekday,4.060089941346056,0.7741417294836502,2.5427721515581014,5.57740773113401,3259,69337083.14867951
Adults 20+,sex,Female,Weekday MIMS-units,14216.536755142584,52.62329561914834,14113.395095729054,14319.678414556114,3352,73256970.035159
Adults 20+,sex,Female,Weekend-day MIMS-units,13754.376459279889,87.65886150884192,13582.565090722559,13926.187827837219,3352,73256970.035159
Adults 20+,sex,Female,Weekday minus weekend MIMS-units,462.16029586269457,69.58374247570697,325.7761606103089,598.5444311150802,3352,73256970.035159
Adults 20+,sex,Female,Percent difference from weekday,1.7973443341724447,0.4509743021709639,0.9134347019173554,2.681253966427534,3352,73256970.035159
Children/adolescents 6-19,age_group,12-19,Weekday MIMS-units,15366.463570035317,167.09383182235618,15038.9596596635,15693.967480407135,1636,20483056.149439998
Children/adolescents 6-19,age_group,12-19,Weekend-day MIMS-units,14499.777426469278,214.25786345619403,14079.832014095138,14919.722838843418,1636,20483056.149439998
Children/adolescents 6-19,age_group,12-19,Weekday minus weekend MIMS-units,866.6861435660389,142.7035987516741,586.9870900127578,1146.38519711932,1636,20483056.149439998
Children/adolescents 6-19,age_group,12-19,Percent difference from weekday,4.537562806187935,0.9404630409511681,2.694255245923646,6.380870366452225,1636,20483056.149439998
